"Som","Classe"
"Animal","Biofonia"
"Domestic animals, pets","Biofonia"
"Dog","Biofonia"
"Bark","Biofonia"
"Yip","Biofonia"
"Howl","Biofonia"
"Bow-wow","Biofonia"
"Growling","Biofonia"
"Whimper (dog)","Biofonia"
"Cat","Biofonia"
"Purr","Biofonia"
"Meow","Biofonia"
"Hiss","Biofonia"
"Caterwaul","Biofonia"
"Livestock, farm animals, working animals","Biofonia"
"Horse","Biofonia"
"Clip-clop","Biofonia"
"Neigh, whinny","Biofonia"
"Cattle, bovinae","Biofonia"
"Moo","Biofonia"
"Cowbell","Antropofonia"
"Pig","Biofonia"
"Oink","Biofonia"
"Goat","Biofonia"
"Bleat","Biofonia"
"Sheep","Biofonia"
"Fowl","Biofonia"
"Chicken, rooster","Biofonia"
"Cluck","Biofonia"
"Crowing, cock-a-doodle-doo","Biofonia"
"Turkey","Biofonia"
"Gobble","Biofonia"
"Duck","Biofonia"
"Quack","Biofonia"
"Goose","Biofonia"
"Honk","Biofonia"
"Wild animals","Biofonia"
"Roaring cats (lions, tigers)","Biofonia"
"Roar","Biofonia"
"Bird","Biofonia"
"Bird vocalization, bird call, bird song","Biofonia"
"Chirp, tweet","Biofonia"
"Squawk","Biofonia"
"Pigeon, dove","Biofonia"
"Coo","Biofonia"
"Crow","Biofonia"
"Caw","Biofonia"
"Owl","Biofonia"
"Hoot","Biofonia"
"Bird flight, flapping wings","Biofonia"
"Canidae, dogs, wolves","Biofonia"
"Rodents, rats, mice","Biofonia"
"Mouse","Biofonia"
"Patter","Biofonia"
"Insect","Biofonia"
"Cricket","Biofonia"
"Mosquito","Biofonia"
"Fly, housefly","Biofonia"
"Buzz","Biofonia"
"Bee, wasp, etc.","Biofonia"
"Frog","Biofonia"
"Croak","Biofonia"
"Snake","Biofonia"
"Rattle","Biofonia"
"Whale vocalization","Biofonia"
"Music","Antropofonia"
"Musical instrument","Antropofonia"
"Plucked string instrument","Antropofonia"
"Guitar","Antropofonia"
"Electric guitar","Antropofonia"
"Bass guitar","Antropofonia"
"Acoustic guitar","Antropofonia"
"Steel guitar, slide guitar","Antropofonia"
"Tapping (guitar technique)","Antropofonia"
"Strum","Antropofonia"
"Banjo","Antropofonia"
"Sitar","Antropofonia"
"Mandolin","Antropofonia"
"Zither","Antropofonia"
"Ukulele","Antropofonia"
"Keyboard (musical)","Antropofonia"
"Piano","Antropofonia"
"Electric piano","Antropofonia"
"Organ","Antropofonia"
"Electronic organ","Antropofonia"
"Hammond organ","Antropofonia"
"Synthesizer","Antropofonia"
"Sampler","Antropofonia"
"Harpsichord","Antropofonia"
"Percussion","Antropofonia"
"Drum kit","Antropofonia"
"Drum machine","Antropofonia"
"Drum","Antropofonia"
"Snare drum","Antropofonia"
"Rimshot","Antropofonia"
"Drum roll","Antropofonia"
"Bass drum","Antropofonia"
"Timpani","Antropofonia"
"Tabla","Antropofonia"
"Cymbal","Antropofonia"
"Hi-hat","Antropofonia"
"Wood block","Antropofonia"
"Tambourine","Antropofonia"
"Rattle (instrument)","Antropofonia"
"Maraca","Antropofonia"
"Gong","Antropofonia"
"Tubular bells","Antropofonia"
"Mallet percussion","Antropofonia"
"Marimba, xylophone","Antropofonia"
"Glockenspiel","Antropofonia"
"Vibraphone","Antropofonia"
"Steelpan","Antropofonia"
"Orchestra","Antropofonia"
"Brass instrument","Antropofonia"
"French horn","Antropofonia"
"Trumpet","Antropofonia"
"Trombone","Antropofonia"
"Bowed string instrument","Antropofonia"
"String section","Antropofonia"
"Violin, fiddle","Antropofonia"
"Pizzicato","Antropofonia"
"Cello","Antropofonia"
"Double bass","Antropofonia"
"Wind instrument, woodwind instrument","Antropofonia"
"Flute","Antropofonia"
"Saxophone","Antropofonia"
"Clarinet","Antropofonia"
"Harp","Antropofonia"
"Bell","Antropofonia"
"Church bell","Antropofonia"
"Jingle bell","Antropofonia"
"Bicycle bell","Antropofonia"
"Tuning fork","Antropofonia"
"Chime","Antropofonia"
"Wind chime","Geofonia"
"Change ringing (campanology)","Antropofonia"
"Harmonica","Antropofonia"
"Accordion","Antropofonia"
"Bagpipes","Antropofonia"
"Didgeridoo","Antropofonia"
"Shofar","Antropofonia"
"Theremin","Antropofonia"
"Singing bowl","Antropofonia"
"Scratching (performance technique)","Antropofonia"
"Pop music","Antropofonia"
"Hip hop music","Antropofonia"
"Beatboxing","Antropofonia"
"Rock music","Antropofonia"
"Heavy metal","Antropofonia"
"Punk rock","Antropofonia"
"Grunge","Antropofonia"
"Progressive rock","Antropofonia"
"Rock and roll","Antropofonia"
"Psychedelic rock","Antropofonia"
"Rhythm and blues","Antropofonia"
"Soul music","Antropofonia"
"Reggae","Antropofonia"
"Country","Antropofonia"
"Swing music","Antropofonia"
"Bluegrass","Antropofonia"
"Funk","Antropofonia"
"Folk music","Antropofonia"
"Middle Eastern music","Antropofonia"
"Jazz","Antropofonia"
"Disco","Antropofonia"
"Classical music","Antropofonia"
"Opera","Antropofonia"
"Electronic music","Antropofonia"
"House music","Antropofonia"
"Techno","Antropofonia"
"Dubstep","Antropofonia"
"Drum and bass","Antropofonia"
"Electronica","Antropofonia"
"Electronic dance music","Antropofonia"
"Ambient music","Antropofonia"
"Trance music","Antropofonia"
"Music of Latin America","Antropofonia"
"Salsa music","Antropofonia"
"Flamenco","Antropofonia"
"Blues","Antropofonia"
"Music for children","Antropofonia"
"New-age music","Antropofonia"
"Vocal music","Antropofonia"
"A capella","Antropofonia"
"Music of Africa","Antropofonia"
"Afrobeat","Antropofonia"
"Christian music","Antropofonia"
"Gospel music","Antropofonia"
"Music of Asia","Antropofonia"
"Carnatic music","Antropofonia"
"Music of Bollywood","Antropofonia"
"Ska","Antropofonia"
"Traditional music","Antropofonia"
"Independent music","Antropofonia"
"Song","Antropofonia"
"Background music","Antropofonia"
"Theme music","Antropofonia"
"Jingle (music)","Antropofonia"
"Soundtrack music","Antropofonia"
"Lullaby","Antropofonia"
"Video game music","Antropofonia"
"Christmas music","Antropofonia"
"Dance music","Antropofonia"
"Wedding music","Antropofonia"
"Happy music","Antropofonia"
"Funny music","Antropofonia"
"Sad music","Antropofonia"
"Tender music","Antropofonia"
"Exciting music","Antropofonia"
"Angry music","Antropofonia"
"Scary music","Antropofonia"
"Wind","Geofonia"
"Rustling leaves","Geofonia"
"Wind noise (microphone)","Geofonia"
"Thunderstorm","Geofonia"
"Thunder","Geofonia"
"Water","Geofonia"
"Rain","Geofonia"
"Raindrop","Geofonia"
"Rain on surface","Geofonia"
"Stream","Geofonia"
"Waterfall","Geofonia"
"Ocean","Geofonia"
"Waves, surf","Geofonia"
"Steam","Geofonia"
"Gurgling","Geofonia"
"Fire","Geofonia"
"Crackle","Geofonia"
"Vehicle","Antropofonia"
"Boat, Water vehicle","Antropofonia"
"Sailboat, sailing ship","Antropofonia"
"Rowboat, canoe, kayak","Antropofonia"
"Motorboat, speedboat","Antropofonia"
"Ship","Antropofonia"
"Motor vehicle (road)","Antropofonia"
"Car","Antropofonia"
"Vehicle horn, car horn, honking","Antropofonia"
"Toot","Antropofonia"
"Car alarm","Antropofonia"
"Power windows, electric windows","Antropofonia"
"Skidding","Antropofonia"
"Tire squeal","Antropofonia"
"Car passing by","Antropofonia"
"Race car, auto racing","Antropofonia"
"Truck","Antropofonia"
"Air brake","Antropofonia"
"Air horn, truck horn","Antropofonia"
"Reversing beeps","Antropofonia"
"Ice cream truck, ice cream van","Antropofonia"
"Bus","Antropofonia"
"Emergency vehicle","Antropofonia"
"Police car (siren)","Antropofonia"
"Ambulance (siren)","Antropofonia"
"Fire engine, fire truck (siren)","Antropofonia"
"Motorcycle","Antropofonia"
"Traffic noise, roadway noise","Antropofonia"
"Rail transport","Antropofonia"
"Train","Antropofonia"
"Train whistle","Antropofonia"
"Train horn","Antropofonia"
"Railroad car, train wagon","Antropofonia"
"Train wheels squealing","Antropofonia"
"Subway, metro, underground","Antropofonia"
"Aircraft","Antropofonia"
"Aircraft engine","Antropofonia"
"Jet engine","Antropofonia"
"Propeller, airscrew","Antropofonia"
"Helicopter","Antropofonia"
"Fixed-wing aircraft, airplane","Antropofonia"
"Bicycle","Antropofonia"
"Skateboard","Antropofonia"
"Engine","Antropofonia"
"Light engine (high frequency)","Antropofonia"
"Dental drill, dentist's drill","Antropofonia"
"Lawn mower","Antropofonia"
"Chainsaw","Antropofonia"
"Medium engine (mid frequency)","Antropofonia"
"Heavy engine (low frequency)","Antropofonia"
"Engine knocking","Antropofonia"
"Engine starting","Antropofonia"
"Idling","Antropofonia"
"Accelerating, revving, vroom","Antropofonia"
"Door","Antropofonia"
"Doorbell","Antropofonia"
"Ding-dong","Antropofonia"
"Sliding door","Antropofonia"
"Slam","Antropofonia"
"Knock","Antropofonia"
"Tap","Antropofonia"
"Squeak","Antropofonia"
"Cupboard open or close","Antropofonia"
"Drawer open or close","Antropofonia"
"Dishes, pots, and pans","Antropofonia"
"Cutlery, silverware","Antropofonia"
"Chopping (food)","Antropofonia"
"Frying (food)","Antropofonia"
"Microwave oven","Antropofonia"
"Blender","Antropofonia"
"Water tap, faucet","Antropofonia"
"Sink (filling or washing)","Antropofonia"
"Bathtub (filling or washing)","Antropofonia"
"Hair dryer","Antropofonia"
"Toilet flush","Antropofonia"
"Toothbrush","Antropofonia"
"Electric toothbrush","Antropofonia"
"Vacuum cleaner","Antropofonia"
"Zipper (clothing)","Antropofonia"
"Keys jangling","Antropofonia"
"Coin (dropping)","Antropofonia"
"Scissors","Antropofonia"
"Electric shaver, electric razor","Antropofonia"
"Shuffling cards","Antropofonia"
"Typing","Antropofonia"
"Typewriter","Antropofonia"
"Computer keyboard","Antropofonia"
"Writing","Antropofonia"
"Alarm","Antropofonia"
"Telephone","Antropofonia"
"Telephone bell ringing","Antropofonia"
"Ringtone","Antropofonia"
"Telephone dialing, DTMF","Antropofonia"
"Dial tone","Antropofonia"
"Busy signal","Antropofonia"
"Alarm clock","Antropofonia"
"Siren","Antropofonia"
"Civil defense siren","Antropofonia"
"Buzzer","Antropofonia"
"Smoke detector, smoke alarm","Antropofonia"
"Fire alarm","Antropofonia"
"Foghorn","Antropofonia"
"Whistle","Antropofonia"
"Steam whistle","Antropofonia"
"Mechanisms","Antropofonia"
"Ratchet, pawl","Antropofonia"
"Clock","Antropofonia"
"Tick","Antropofonia"
"Tick-tock","Antropofonia"
"Gears","Antropofonia"
"Pulleys","Antropofonia"
"Sewing machine","Antropofonia"
"Mechanical fan","Antropofonia"
"Air conditioning","Antropofonia"
"Cash register","Antropofonia"
"Printer","Antropofonia"
"Camera","Antropofonia"
"Single-lens reflex camera","Antropofonia"
"Tools","Antropofonia"
"Hammer","Antropofonia"
"Jackhammer","Antropofonia"
"Sawing","Antropofonia"
"Filing (rasp)","Antropofonia"
"Sanding","Antropofonia"
"Power tool","Antropofonia"
"Drill","Antropofonia"
"Explosion","Antropofonia"
"Gunshot, gunfire","Antropofonia"
"Machine gun","Antropofonia"
"Fusillade","Antropofonia"
"Artillery fire","Antropofonia"
"Cap gun","Antropofonia"
"Fireworks","Antropofonia"
"Firecracker","Antropofonia"
"Burst, pop","Antropofonia"
"Eruption","Geofonia"
"Boom","Antropofonia"
"Wood","Antropofonia"
"Chop","Antropofonia"
"Splinter","Antropofonia"
"Crack","Antropofonia"
"Glass","Antropofonia"
"Chink, clink","Antropofonia"
"Shatter","Antropofonia"
"Liquid","Antropofonia"
"Splash, splatter","Antropofonia"
"Slosh","Antropofonia"
"Squish","Antropofonia"
"Drip","Antropofonia"
"Pour","Antropofonia"
"Trickle, dribble","Antropofonia"
"Gush","Antropofonia"
"Fill (with liquid)","Antropofonia"
"Spray","Antropofonia"
"Pump (liquid)","Antropofonia"
"Stir","Antropofonia"
"Boiling","Antropofonia"
"Sonar","Antropofonia"
"Arrow","Antropofonia"
"Whoosh, swoosh, swish","Antropofonia"
"Thump, thud","Antropofonia"
"Thunk","Antropofonia"
"Electronic tuner","Antropofonia"
"Effects unit","Antropofonia"
"Chorus effect","Antropofonia"
"Basketball bounce","Antropofonia"
"Bang","Antropofonia"
"Slap, smack","Antropofonia"
"Whack, thwack","Antropofonia"
"Smash, crash","Antropofonia"
"Breaking","Antropofonia"
"Bouncing","Antropofonia"
"Whip","Antropofonia"
"Flap","Antropofonia"
"Scratch","Antropofonia"
"Scrape","Antropofonia"
"Rub","Antropofonia"
"Roll","Antropofonia"
"Crushing","Antropofonia"
"Crumpling, crinkling","Antropofonia"
"Tearing","Antropofonia"
"Beep, bleep","Antropofonia"
"Ping","Antropofonia"
"Ding","Antropofonia"
"Clang","Antropofonia"
"Squeal","Antropofonia"
"Creak","Antropofonia"
"Rustle","Antropofonia"
"Whir","Antropofonia"
"Clatter","Antropofonia"
"Sizzle","Antropofonia"
"Clicking","Antropofonia"
"Clickety-clack","Antropofonia"
"Rumble","Antropofonia"
"Plop","Antropofonia"
"Jingle, tinkle","Antropofonia"
"Hum","Antropofonia"
"Zing","Antropofonia"
"Boing","Antropofonia"
"Crunch","Antropofonia"
"Silence","Indefinido"
"Sine wave","Antropofonia"
"Harmonic","Antropofonia"
"Chirp tone","Antropofonia"
"Sound effect","Antropofonia"
"Pulse","Antropofonia"
"Inside, small room","Indefinido"
"Inside, large room or hall","Indefinido"
"Inside, public space","Indefinido"
"Outside, urban or manmade","Indefinido"
"Outside, rural or natural","Indefinido"
"Reverberation","Indefinido"
"Echo","Indefinido"
"Noise","Indefinido"
"Environmental noise","Indefinido"
"Static","Antropofonia"
"Mains hum","Antropofonia"
"Distortion","Antropofonia"
"Sidetone","Antropofonia"
"Cacophony","Indefinido"
"White noise","Antropofonia"
"Pink noise","Antropofonia"
"Throbbing","Indefinido"
"Vibration","Indefinido"
"Television","Antropofonia"
"Radio","Antropofonia"
"Field recording","Antropofonia"
